T,Alt,FAlt,FVeloc,LDA,Apogee,N-O,Drogue,Main,AUX
5.60,2512.00,2414.20,489.02,0,0,0,0,0,0
5.65,2540.00,2439.36,503.21,0,0,0,0,0,0
5.70,2564.00,2464.29,498.57,0,0,0,0,0,0
5.75,2592.00,2489.83,510.86,0,0,0,0,0,0
5.80,2625.00,2516.86,540.68,0,0,0,0,0,0
5.85,2667.00,2546.89,600.55,0,0,0,0,0,0
5.90,2694.00,2576.31,588.44,0,0,0,0,0,0
5.95,2721.00,2605.25,578.75,0,0,0,0,0,0
6.00,2740.00,2632.20,539.00,0,0,0,0,0,0
6.05,2751.00,2655.96,475.20,0,0,0,0,0,0
6.10,2751.00,2674.97,380.16,0,0,0,0,0,0
6.15,2760.00,2691.97,340.13,0,0,0,0,0,0
6.20,2768.00,2707.18,304.10,0,0,0,0,0,0
6.25,2791.00,2723.94,335.28,0,0,0,0,0,0
6.30,2811.00,2741.35,348.23,0,0,0,0,0,0
6.35,2829.00,2758.88,350.58,0,0,0,0,0,0
6.40,2850.00,2777.11,364.46,0,0,0,0,0,0
6.45,2871.00,2795.89,375.57,0,0,0,0,0,0
6.50,2891.00,2814.91,380.46,0,0,0,0,0,0
6.55,2910.00,2833.93,380.37,0,0,0,0,0,0
6.60,2929.00,2852.94,380.29,0,0,0,0,0,0
6.65,2954.00,2873.15,404.23,0,0,0,0,0,0
6.70,2972.00,2892.92,395.39,0,0,0,0,0,0
6.75,2991.00,2912.54,392.31,0,0,0,0,0,0
6.80,3011.00,2932.23,393.85,0,0,0,0,0,0
6.85,3030.00,2951.78,391.08,0,0,0,0,0,0
6.90,3048.00,2971.03,384.86,0,0,0,0,0,0
6.95,3070.00,2990.82,395.89,0,0,0,0,0,0
7.00,3087.00,3010.06,384.71,0,0,0,0,0,0
7.05,3106.00,3029.25,383.77,0,0,0,0,0,0
7.10,3125.00,3048.40,383.02,0,0,0,0,0,0
7.15,3145.00,3067.72,386.41,0,0,0,0,0,0
7.20,3172.00,3088.57,417.13,0,0,0,0,0,0
7.25,3189.00,3108.66,401.70,0,0,0,0,0,0
7.30,3210.00,3128.93,405.37,0,0,0,0,0,0
7.35,3231.00,3149.34,408.29,0,0,0,0,0,0
7.40,3250.00,3169.47,402.63,0,0,0,0,0,0
7.45,3274.00,3190.38,418.11,0,0,0,0,0,0
7.50,3294.00,3211.10,414.49,0,0,0,0,0,0
7.55,3310.00,3230.88,395.59,0,0,0,0,0,0
7.60,3327.00,3250.11,384.47,0,0,0,0,0,0
7.65,3345.00,3269.08,379.58,0,0,0,0,0,0
7.70,3367.00,3288.67,391.66,0,0,0,0,0,0
7.75,3386.00,3308.13,389.33,0,0,0,0,0,0
7.80,3397.00,3325.91,355.46,0,0,0,0,0,0
7.85,3415.00,3343.73,356.37,0,0,0,0,0,0
7.90,3432.00,3361.38,353.10,0,0,0,0,0,0
7.95,3452.00,3379.50,362.48,0,0,0,0,0,0
8.00,3464.00,3396.40,337.98,0,0,0,0,0,0
8.05,3470.00,3411.12,294.38,0,0,0,0,0,0
8.10,3481.00,3425.10,279.51,0,0,0,0,0,0
8.15,3498.00,3439.68,291.61,0,0,0,0,0,0
8.20,3516.00,3454.94,305.28,0,0,0,0,0,0
8.25,3534.00,3470.75,316.23,0,0,0,0,0,0
8.30,3544.00,3485.40,292.98,0,0,0,0,0,0
8.35,3561.00,3500.52,302.39,0,0,0,0,0,0
8.40,3574.00,3515.22,293.91,0,0,0,0,0,0
8.45,3589.00,3529.97,295.13,0,0,0,0,0,0
8.50,3608.00,3545.58,312.10,0,0,0,0,0,0
8.55,3627.00,3561.86,325.68,0,0,0,0,0,0
8.60,3641.00,3577.69,316.54,0,0,0,0,0,0
8.65,3650.00,3592.15,289.24,0,0,0,0,0,0
8.70,3663.00,3606.32,283.39,0,0,0,0,0,0
8.75,3682.00,3621.46,302.71,0,0,0,0,0,0
8.80,3695.00,3636.17,294.17,0,0,0,0,0,0
8.85,3710.00,3650.93,295.34,0,0,0,0,0,0
8.90,3730.00,3666.75,316.27,0,0,0,0,0,0
8.95,3745.00,3682.40,313.01,0,0,0,0,0,0
9.00,3761.00,3698.12,314.41,0,0,0,0,0,0
9.05,3773.00,3713.09,299.53,0,0,0,0,0,0
9.10,3788.00,3728.08,299.62,0,0,0,0,0,0
9.15,3802.00,3742.86,295.70,0,0,0,0,0,0
9.20,3816.00,3757.49,292.56,0,0,0,0,0,0
9.25,3828.00,3771.59,282.05,0,0,0,0,0,0
9.30,3840.00,3785.27,273.64,0,0,0,0,0,0
9.35,3856.00,3799.42,282.91,0,0,0,0,0,0
9.40,3870.00,3813.53,282.33,0,0,0,0,0,0
9.45,3887.00,3828.23,293.86,0,0,0,0,0,0
9.50,3903.00,3843.18,299.09,0,0,0,0,0,0
9.55,3914.00,3857.35,283.27,0,0,0,0,0,0
9.60,3929.00,3871.68,286.62,0,0,0,0,0,0
9.65,3935.00,3884.34,253.30,0,0,0,0,0,0
9.70,3946.00,3896.67,246.64,0,0,0,0,0,0
9.75,3957.00,3908.74,241.31,0,0,0,0,0,0
9.80,3975.00,3921.99,265.04,0,0,0,0,0,0
9.85,3982.00,3933.99,240.04,0,0,0,0,0,0
9.90,3999.00,3946.99,260.03,0,0,0,0,0,0
9.95,4000.00,3957.60,212.02,0,0,0,0,0,0
10.00,4011.00,3968.28,213.62,0,0,0,0,0,0
10.05,4026.00,3979.82,230.89,0,0,0,0,0,0
10.10,4038.00,3991.46,232.71,0,0,0,0,0,0
10.15,4050.00,4003.17,234.17,0,0,0,0,0,0
10.20,4061.00,4014.73,231.34,0,0,0,0,0,0
10.25,4072.00,4026.19,229.07,0,0,0,0,0,0
10.30,4084.00,4037.75,231.25,0,0,0,0,0,0
10.35,4096.00,4049.40,233.01,0,0,0,0,0,0
10.40,4106.00,4060.72,226.41,0,0,0,0,0,0
10.45,4116.00,4071.78,221.12,0,0,0,0,0,0
10.50,4129.00,4083.22,228.90,0,0,0,0,0,0
10.55,4138.00,4094.18,219.12,0,0,0,0,0,0
10.60,4150.00,4105.34,223.29,0,0,0,0,0,0
10.65,4161.00,4116.47,222.64,0,0,0,0,0,0
10.70,4170.00,4127.18,214.11,0,0,0,0,0,0
10.75,4182.00,4138.14,219.29,0,0,0,0,0,0
10.80,4193.00,4149.11,219.43,0,0,0,0,0,0
10.85,4203.00,4159.89,215.55,0,0,0,0,0,0
10.90,4216.00,4171.11,224.43,0,0,0,0,0,0
10.95,4225.00,4181.89,215.55,0,0,0,0,0,0
11.00,4234.00,4192.31,208.44,0,0,0,0,0,0
11.05,4244.00,4202.65,206.75,0,0,0,0,0,0
