T,Alt,FAlt,FVeloc,LDA,Apogee,N-O,Drogue,Main,AUX
75.30,335.00,429.69,-47.35,0,0,0,0,0,0
75.80,325.00,408.75,-41.88,0,0,0,0,0,0
76.30,318.00,390.60,-36.30,0,0,0,0,0,0
76.80,305.00,373.48,-34.24,0,0,0,0,0,0
77.30,294.00,357.59,-31.79,0,0,0,0,0,0
77.80,284.00,342.87,-29.43,0,0,0,0,0,0
78.30,269.00,328.10,-29.55,0,0,0,0,0,0
78.80,259.00,314.28,-27.64,0,0,0,0,0,0
79.30,251.00,301.62,-25.31,0,0,0,0,0,0
79.80,237.00,288.70,-25.85,0,0,0,0,0,0
80.30,226.00,276.16,-25.08,0,0,0,0,0,0
80.80,219.00,264.73,-22.86,0,0,0,0,0,0
81.30,208.00,253.38,-22.69,0,0,0,0,0,0
81.80,193.00,241.30,-24.15,0,0,0,0,0,0
82.30,182.00,229.44,-23.72,0,0,0,0,0,0
82.80,170.00,217.55,-23.78,0,0,0,0,0,0
83.30,165.00,207.04,-21.02,0,0,0,0,0,0
83.80,149.00,195.44,-23.22,0,0,0,0,0,0
84.30,140.00,184.35,-22.17,0,0,0,0,0,0
84.80,125.00,172.48,-23.74,0,0,0,0,0,0
85.30,120.00,161.98,-20.99,0,0,0,0,0,0
85.80,105.00,150.59,-22.79,0,0,0,0,0,0
86.30,90.00,138.47,-24.23,0,0,0,0,0,0
86.80,86.00,127.98,-20.99,0,0,0,0,0,0
87.30,73.00,116.98,-21.99,0,0,0,0,0,0
87.80,65.00,106.58,-20.79,0,0,0,0,0,0
88.30,52.00,95.67,-21.83,0,0,0,0,0,0
88.80,41.00,84.73,-21.87,0,0,0,0,0,0
89.30,31.00,73.99,-21.49,0,0,0,0,0,0
89.80,26.00,64.39,-19.19,0,0,0,0,0,0
90.30,17.00,54.91,-18.96,0,0,0,0,0,0
90.80,19.00,47.73,-14.36,0,0,0,0,0,0
91.30,19.00,41.98,-11.49,0,0,0,0,0,0
91.80,20.00,37.59,-8.79,0,0,0,0,0,0
92.30,20.00,34.07,-7.03,0,0,0,0,0,0
92.80,18.00,30.86,-6.43,0,0,0,0,0,0
93.30,18.00,28.28,-5.14,0,0,0,0,0,0
93.80,18.00,26.23,-4.11,0,0,0,0,0,0
94.30,16.00,24.18,-4.09,0,0,0,0,0,0
94.80,17.00,22.75,-2.87,0,0,0,0,0,0
95.30,19.00,22.00,-1.50,0,0,0,0,0,0
95.80,18.00,21.20,-1.60,0,0,0,0,0,0
